,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Tha Carter V,1,3ZVw1HR1QAQoKBygbhG4CE,I Love You Dwayne,spotify:track:3ZVw1HR1QAQoKBygbhG4CE,0.81,0.657,0.814,0.0,0.445,-16.493,0.937,136.142,0.0788,48
1,Tha Carter V,2,5BQrp63SHCVf4bzCzJePne,Don't Cry (feat. XXXTENTACION),spotify:track:5BQrp63SHCVf4bzCzJePne,0.409,0.585,0.709,0.0,0.183,-6.072,0.319,111.913,0.21,66
2,Tha Carter V,3,0Y7di9ZCmB6Elad5WISaPc,Dedicate,spotify:track:0Y7di9ZCmB6Elad5WISaPc,0.033,0.879,0.662,0.0,0.716,-6.162,0.309,117.975,0.723,62
3,Tha Carter V,4,3wScL5W8H40zzCKN0atfBk,Uproar,spotify:track:3wScL5W8H40zzCKN0atfBk,0.0595,0.743,0.87,0.0,0.299,-2.188,0.212,99.075,0.884,72
4,Tha Carter V,5,0CBQ0m3mufWH75LTYB3s6h,Let It Fly (feat. Travis Scott),spotify:track:0CBQ0m3mufWH75LTYB3s6h,0.0414,0.902,0.819,0.0,0.106,-3.321,0.317,89.0,0.746,63
5,Tha Carter V,6,5cGpjfgAvidLy6znwkCxkP,Can't Be Broken,spotify:track:5cGpjfgAvidLy6znwkCxkP,0.121,0.578,0.577,0.0,0.086,-5.997,0.202,99.288,0.154,62
6,Tha Carter V,7,5IvdLxVB8gwwcgnEkXSSW2,Dark Side Of The Moon (feat. Nicki Minaj),spotify:track:5IvdLxVB8gwwcgnEkXSSW2,0.525,0.603,0.457,0.0,0.0905,-5.384,0.297,73.724,0.458,57
7,Tha Carter V,8,0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),spotify:track:0dbTQYW3Ad1FTzIA9t90E8,0.371,0.855,0.694,0.0,0.109,-4.393,0.169,122.078,0.49,70
8,Tha Carter V,9,3JX0dOCIAiaR8MP3ryXWuM,What About Me (feat. Sosamann),spotify:track:3JX0dOCIAiaR8MP3ryXWuM,0.0263,0.784,0.44,1.9e-06,0.122,-6.566,0.0401,118.089,0.22,60
9,Tha Carter V,10,2DnH4XlEkghUdE8ymdVom5,Open Letter,spotify:track:2DnH4XlEkghUdE8ymdVom5,0.0283,0.769,0.55,0.0,0.139,-6.299,0.359,97.01,0.36,55
10,Tha Carter V,11,05r1GGg1Rhs0RcUg27C82a,Famous (feat. Reginae Carter),spotify:track:05r1GGg1Rhs0RcUg27C82a,0.0301,0.624,0.568,0.0,0.25,-5.664,0.143,149.857,0.115,59
11,Tha Carter V,12,0ubdf6zWT1It2saK41SkO0,Problems,spotify:track:0ubdf6zWT1It2saK41SkO0,0.0169,0.807,0.571,0.0,0.252,-6.937,0.312,139.996,0.0993,54
12,Tha Carter V,13,2AwyHlbA6f641SEkizD5JG,Dope Niggaz (feat. Snoop Dogg),spotify:track:2AwyHlbA6f641SEkizD5JG,0.0395,0.752,0.708,0.0,0.0601,-5.053,0.28,84.974,0.645,58
13,Tha Carter V,14,5s6pKnF3ZPtuqvEx1i1V7U,Hittas,spotify:track:5s6pKnF3ZPtuqvEx1i1V7U,0.276,0.788,0.765,0.0,0.216,-3.93,0.439,144.046,0.667,54
14,Tha Carter V,15,1Dk3CfJEtqvj7Xg2AWwfEn,Took His Time,spotify:track:1Dk3CfJEtqvj7Xg2AWwfEn,0.144,0.752,0.703,0.0,0.325,-3.417,0.213,149.988,0.641,55
15,Tha Carter V,16,7EgI0dCaQuHFe3OTj5EpWI,Open Safe,spotify:track:7EgI0dCaQuHFe3OTj5EpWI,0.00705,0.929,0.598,0.0,0.0549,-5.373,0.156,96.012,0.501,56
16,Tha Carter V,17,6wqWfSOZvTK18SAczoYm1L,Start This Shit Off Right (feat. Ashanti & Mack Maine),spotify:track:6wqWfSOZvTK18SAczoYm1L,0.0206,0.865,0.568,0.0,0.186,-5.112,0.241,90.985,0.881,53
17,Tha Carter V,18,1kaxyXcAi5ZHF3Q94QXsHK,Demon,spotify:track:1kaxyXcAi5ZHF3Q94QXsHK,0.273,0.754,0.615,0.0,0.13,-5.346,0.171,140.04,0.345,54
18,Tha Carter V,19,6y4pOReFqH2wzo4CV91cZC,Mess,spotify:track:6y4pOReFqH2wzo4CV91cZC,0.479,0.641,0.579,9.58e-05,0.214,-8.278,0.0895,145.994,0.421,56
19,Tha Carter V,20,7cG6SxmQ24hQWnR8UThrk2,Dope New Gospel (feat. Nivea),spotify:track:7cG6SxmQ24hQWnR8UThrk2,0.227,0.651,0.719,0.0,0.109,-3.924,0.301,116.77,0.402,52
20,Tha Carter V,21,4E3qImtJzRqLt8ZZyLceOE,Perfect Strangers,spotify:track:4E3qImtJzRqLt8ZZyLceOE,0.4,0.746,0.644,0.0,0.095,-2.605,0.232,146.178,0.542,54
21,Tha Carter V,22,68lOQPb5tX8U2cQRuas0L2,Used 2,spotify:track:68lOQPb5tX8U2cQRuas0L2,0.337,0.678,0.666,0.0,0.115,-6.949,0.487,87.634,0.523,56
22,Tha Carter V,23,3BUWNzPWz2mDbptZmGEXpB,Let It All Work Out,spotify:track:3BUWNzPWz2mDbptZmGEXpB,0.0216,0.552,0.562,0.0,0.302,-6.862,0.164,135.014,0.439,60
46,SUPERFLY (Original Motion Picture Soundtrack),1,0rdmYZpqudklj3mhejRH1v,If You Want It (Sleepy Brown feat. Scar),spotify:track:0rdmYZpqudklj3mhejRH1v,0.0175,0.645,0.785,5.61e-06,0.0898,-6.868,0.0353,110.994,0.569,31
47,SUPERFLY (Original Motion Picture Soundtrack),2,5BojMTUzwug3YQ21nThLhv,What's Up With That (Future feat. 21 Savage),spotify:track:5BojMTUzwug3YQ21nThLhv,0.0691,0.841,0.824,0.000126,0.192,-6.242,0.243,152.068,0.653,44
48,SUPERFLY (Original Motion Picture Soundtrack),3,2txxneWmDggnj8J0IlA4ZF,No Shame (Future feat. PARTYNEXTDOOR),spotify:track:2txxneWmDggnj8J0IlA4ZF,0.162,0.362,0.755,0.0,0.342,-7.187,0.311,173.719,0.236,45
49,SUPERFLY (Original Motion Picture Soundtrack),4,5r0J5io1my6Am0jmFV94OV,Walk On Minks (Future),spotify:track:5r0J5io1my6Am0jmFV94OV,0.0213,0.75,0.794,0.0,0.359,-6.539,0.168,129.993,0.645,43
50,SUPERFLY (Original Motion Picture Soundtrack),5,15oK0dIiG9xeYU8gk2DB4m,Tie My Shoes (Future feat. Young Thug),spotify:track:15oK0dIiG9xeYU8gk2DB4m,0.0303,0.884,0.896,7.23e-05,0.0913,-4.669,0.131,149.021,0.711,36
51,SUPERFLY (Original Motion Picture Soundtrack),6,1PxxpjnzU4miVn1ULHlo8L,Stains (Future),spotify:track:1PxxpjnzU4miVn1ULHlo8L,0.0278,0.885,0.713,0.000318,0.154,-4.853,0.261,148.058,0.275,39
52,SUPERFLY (Original Motion Picture Soundtrack),7,0TBHAzNgH8aMmJBtpzfMfj,Show My Chain Some Love (Future feat. Young Thug),spotify:track:0TBHAzNgH8aMmJBtpzfMfj,0.0445,0.758,0.765,1.08e-05,0.0999,-5.067,0.117,139.993,0.448,38
53,SUPERFLY (Original Motion Picture Soundtrack),8,2OaNdSbmHAgrSEfRd3czAK,R.A.N. (Miguel),spotify:track:2OaNdSbmHAgrSEfRd3czAK,0.115,0.538,0.626,1e-05,0.137,-8.272,0.0455,132.908,0.241,38
54,SUPERFLY (Original Motion Picture Soundtrack),9,0XUHYxHOOctkSXReILAaJV,This Way (Khalid x H.E.R.),spotify:track:0XUHYxHOOctkSXReILAaJV,0.694,0.62,0.282,0.0,0.119,-10.533,0.0464,124.609,0.193,45
55,SUPERFLY (Original Motion Picture Soundtrack),10,09rpYKV7YcVTl4vzQgQjYG,Bag (Future feat. Yung Bans),spotify:track:09rpYKV7YcVTl4vzQgQjYG,0.0811,0.857,0.457,0.0,0.191,-8.939,0.297,132.01,0.616,42
56,SUPERFLY (Original Motion Picture Soundtrack),11,6dAxsn3aP6EBo3oJDN8mL4,Drive Itself (Future feat. Lil Wayne),spotify:track:6dAxsn3aP6EBo3oJDN8mL4,0.018,0.831,0.604,0.0,0.283,-6.08,0.251,142.985,0.141,38
57,SUPERFLY (Original Motion Picture Soundtrack),12,0urHaAHTNeprwQuj4QzY1Q,Money Train (Future feat. Young Thug & Gunna),spotify:track:0urHaAHTNeprwQuj4QzY1Q,0.0413,0.862,0.763,1.21e-05,0.135,-4.936,0.183,150.029,0.691,41
58,SUPERFLY (Original Motion Picture Soundtrack),13,3Bbx1UN5T0KH9uasjSSZ2q,Nowhere (Future),spotify:track:3Bbx1UN5T0KH9uasjSSZ2q,0.0813,0.817,0.493,2.42e-06,0.114,-5.09,0.134,137.104,0.227,38
59,SUPERFLY (Original Motion Picture Soundtrack),1,4PyEyFo5PyPQXf6FputONC,Trappin' So Hard (Rich The Kid & Rico Love),spotify:track:4PyEyFo5PyPQXf6FputONC,0.215,0.867,0.564,0.0,0.112,-6.815,0.0909,109.95,0.237,41
60,SUPERFLY (Original Motion Picture Soundtrack),2,2RC86WM8zX8v1z4QNtZ2sI,New Goals (French Montana),spotify:track:2RC86WM8zX8v1z4QNtZ2sI,0.112,0.8,0.749,0.0,0.334,-4.548,0.0593,115.076,0.247,37
61,SUPERFLY (Original Motion Picture Soundtrack),3,2ld9oNdFAMIiAwyCFd5i9G,That's How I Grew Up (G Herbo feat. 21 Savage),spotify:track:2ld9oNdFAMIiAwyCFd5i9G,0.0372,0.787,0.771,0.0,0.329,-5.964,0.359,74.993,0.53,34
62,SUPERFLY (Original Motion Picture Soundtrack),4,1nBlR1MbfZ1nLrecwVoLXE,"Rep Yo Click (Lil Jon feat. Bangladesh, Freeway & CyHi The Prynce)",spotify:track:1nBlR1MbfZ1nLrecwVoLXE,0.0215,0.466,0.774,0.0,0.158,-5.322,0.235,116.118,0.536,34
63,SUPERFLY (Original Motion Picture Soundtrack),5,4bhu77kvSM5qMzTXAVzsuI,"Please Forgive (Lecrae, Sean Garrett & Crystal Nicole)",spotify:track:4bhu77kvSM5qMzTXAVzsuI,0.476,0.554,0.694,0.0,0.0681,-5.803,0.149,145.986,0.385,31
64,SUPERFLY (Original Motion Picture Soundtrack),6,5Q98gqWkpDY7hfDa3Ho4ch,Capone Suite (Rick Ross feat. Smif-N-Wessun),spotify:track:5Q98gqWkpDY7hfDa3Ho4ch,0.000932,0.343,0.883,0.0,0.315,-5.335,0.315,76.959,0.554,31
65,SUPERFLY (Original Motion Picture Soundtrack),7,28lYNTAmeSis1dZ7cJs6Fw,Struggles (Future feat. Sleepy Brown),spotify:track:28lYNTAmeSis1dZ7cJs6Fw,0.0858,0.772,0.456,0.0,0.224,-9.986,0.0703,129.988,0.275,29
66,SUPERFLY (Original Motion Picture Soundtrack),8,4gxnTpSiGsXZNXlABEQHiL,Find My Way Out (HoodCelebrityy),spotify:track:4gxnTpSiGsXZNXlABEQHiL,0.0181,0.749,0.419,7.15e-06,0.0703,-7.562,0.0437,96.977,0.432,30
67,SUPERFLY (Original Motion Picture Soundtrack),9,6CSRySSCq53b6aS4XcKxQq,La Dueña (A.CHAL),spotify:track:6CSRySSCq53b6aS4XcKxQq,0.162,0.89,0.484,0.0,0.0698,-4.896,0.198,139.774,0.521,35
68,SUPERFLY (Original Motion Picture Soundtrack),10,4eVAlCGYvDOsI0jCjdxvBD,Georgia (Future feat. Young Thug),spotify:track:4eVAlCGYvDOsI0jCjdxvBD,0.402,0.639,0.587,0.0,0.101,-5.329,0.237,139.822,0.379,34
69,Heres to the Roc,1,18CEsGcoxNggEPAKatmD5m,Glory,spotify:track:18CEsGcoxNggEPAKatmD5m,0.0172,0.468,0.876,0.0,0.274,-4.459,0.169,78.542,0.41,22
70,Heres to the Roc,2,2L2GPpaTZ7YnEmG8ZtlMBq,Off the Rip - Remix,spotify:track:2L2GPpaTZ7YnEmG8ZtlMBq,0.078,0.513,0.612,0.0,0.667,-8.293,0.381,182.266,0.515,16
71,Heres to the Roc,3,1lLoj3Fcux9TnTqa6cau4v,You Made Yet - Remix,spotify:track:1lLoj3Fcux9TnTqa6cau4v,0.069,0.719,0.65,0.0,0.269,-6.984,0.193,85.972,0.325,16
72,Heres to the Roc,4,07NfxnfOSa8VtpfhqzBshv,Ms,spotify:track:07NfxnfOSa8VtpfhqzBshv,0.0031,0.787,0.636,0.0,0.225,-6.776,0.234,116.622,0.198,20
73,Heres to the Roc,5,4xWzeOTftGCOWBqj4oTVEi,I Aint Gonna Lie,spotify:track:4xWzeOTftGCOWBqj4oTVEi,0.279,0.388,0.681,0.0,0.63,-6.767,0.397,182.195,0.649,15
74,Heres to the Roc,6,7kg92ixg8VaelDvgg2NTWr,Just Right for Me,spotify:track:7kg92ixg8VaelDvgg2NTWr,0.0808,0.524,0.803,0.0,0.0578,-4.698,0.139,130.068,0.656,12
75,Heres to the Roc,7,5YEOrYnE9t0OjiaRcmF2jO,Brown Sugar,spotify:track:5YEOrYnE9t0OjiaRcmF2jO,0.0261,0.648,0.562,0.0,0.508,-5.969,0.128,114.085,0.459,15
76,Heres to the Roc,8,5xzcgldpCjPqgpE5clKkQO,Me U and Hennessy,spotify:track:5xzcgldpCjPqgpE5clKkQO,0.597,0.431,0.536,0.0,0.115,-8.4,0.276,75.055,0.236,21
77,Heres to the Roc,9,4TOC84gDnkvb31yonq4o5u,Commas,spotify:track:4TOC84gDnkvb31yonq4o5u,0.0356,0.797,0.536,1.76e-05,0.103,-8.44,0.212,139.927,0.192,20
78,Heres to the Roc,10,15aIHlxcob6ghXvwRSYS3w,Next up Cypher,spotify:track:15aIHlxcob6ghXvwRSYS3w,0.643,0.565,0.421,0.0,0.161,-15.905,0.728,86.753,0.518,9
